transaction_id,timestamp,amount,customer_id,merchant_id,merchant_category,distance_from_home,customer_age,transaction_velocity_daily,fraud,account_id,transaction_type,location,ip_address,channel,customer_occupation,transaction_duration,verification_attempt,login_attempt,account_balance,account_type,hour_of_day,previous_transactions_timestamp
T00000850,2025-02-27 16:31:03,2928.0,C0000268,M00994,travel,8.54,47,1,0,ACC56153339,CR,Kanpur,45.113.167.217,Online,Business Owner,30.9,1,1,24411.82,Current,16,2025-02-27 11:42:48
T00006983,2025-02-27 16:33:16,2789.0,C0000350,M00189,healthcare,0.26,38,5,0,ACC31172421,CR,Ludhiana,103.7.13.236,Mobile App,Engineer,18.4,1,1,45843.51,Savings,16,2025-02-26 02:07:36
T00004860,2025-02-27 16:45:45,3393.0,C0001132,M00210,grocery,5.99,59,7,0,ACC22543044,DR,Visakhapatnam,103.7.235.82,Mobile App,Banker,33.5,1,1,57959.06,Current,16,2025-02-26 07:44:07
T00008028,2025-02-27 16:53:47,1075.0,C0003264,M00589,entertainment,0.88,37,1,0,ACC34814337,CR,Hyderabad,103.2.190.68,ATM,IT Professional,22.2,1,1,63531.97,Savings,16,2025-02-27 04:03:34
T00001511,2025-02-27 16:59:02,4499.0,C0000766,M00789,healthcare,6.09,59,0,0,ACC96547189,CR,Visakhapatnam,103.5.235.42,Mobile App,Homemaker,22.0,1,1,93366.71,Salary,16,2025-02-27 14:26:08
T00001744,2025-02-27 17:00:05,2160.0,C0002798,M00638,utilities,22.51,23,2,0,ACC85751409,DR,Meerut,103.0.9.120,Branch,Teacher,6.5,1,1,38195.18,Savings,17,2025-02-25 21:27:34
T00005883,2025-02-27 17:06:05,1218.0,C0001422,M00683,restaurant,21.12,41,4,0,ACC30123169,DR,Bhopal,103.6.127.94,ATM,Retired,12.0,1,1,40700.92,Recurring Deposit,17,2025-02-27 01:41:11
T00000263,2025-02-27 17:14:27,1960.0,C0002223,M00683,healthcare,35.08,43,3,0,ACC90117857,DR,Indore,103.2.155.135,Mobile App,IT Professional,14.9,1,1,35195.2,Savings,17,2025-02-26 21:53:47
T00005058,2025-02-27 17:14:54,4754.0,C0002308,M00131,healthcare,10.53,15,4,0,ACC74606833,DR,Ghaziabad,103.3.9.85,Online,Nurse,21.8,1,1,13265.07,Recurring Deposit,17,2025-02-26 11:06:48
T00002007,2025-02-27 17:21:31,2412.0,C0002746,M00865,grocery,6.42,61,3,0,ACC70655283,CR,Mumbai,103.5.43.10,ATM,Architect,28.6,1,1,80195.65,Savings,17,2025-02-27 14:37:22
T00007262,2025-02-27 17:31:22,8037.0,C0000291,M00608,healthcare,39.35,23,3,0,ACC52101056,DR,Visakhapatnam,103.1.157.215,Branch,Self-employed,36.2,1,1,45496.16,Salary,17,2025-02-25 17:45:41
T00008487,2025-02-27 17:37:18,2040.0,C0004690,M00149,electronics,0.23,53,0,0,ACC30486849,DR,Bhopal,103.5.187.120,Phone Banking,Consultant,24.5,1,1,46207.16,Current,17,2025-02-27 01:41:26
T00009390,2025-02-27 17:46:47,4844.0,C0002543,M00080,restaurant,23.5,24,4,0,ACC95025258,DR,Mumbai,45.114.214.76,Phone Banking,Teacher,27.1,1,1,37531.59,Current,17,2025-02-27 10:03:54
T00003543,2025-02-27 17:47:04,1859.0,C0004740,M00778,entertainment,2.25,66,4,0,ACC48668783,DR,Indore,103.3.180.2,Phone Banking,Engineer,33.0,1,1,43049.3,Salary,17,2025-02-26 21:28:31
T00003315,2025-02-27 17:52:43,8280.0,C0000143,M00994,utilities,9.79,43,3,0,ACC44529507,CR,Bhopal,103.1.157.103,Mobile App,Manager,28.9,1,1,-37751.7,Savings,17,2025-02-26 12:23:05
T00004738,2025-02-27 17:59:08,1394.0,C0001991,M00106,electronics,4.09,43,4,0,ACC32062036,CR,Chennai,45.113.0.96,Branch,Driver,34.4,1,1,23629.12,Salary,17,2025-02-27 07:09:35
T00009577,2025-02-27 18:08:21,3536.9999999999995,C0004435,M00056,jewelry,279.31,38,10,1,ACC62294176,DR,Lucknow,103.0.139.63,Mobile App,Doctor,17.6,3,2,12081.31,Salary,18,2025-02-27 10:11:56
T00006976,2025-02-27 18:17:59,7526.000000000001,C0000484,M00829,retail,26.16,19,4,0,ACC43257324,CR,Vadodara,45.112.22.165,ATM,Retired,19.6,1,1,18977.47,Current,18,2025-02-26 11:41:55
T00009533,2025-02-27 18:22:19,12695.0,C0003891,M00687,electronics,14.42,42,15,1,ACC75441993,DR,Nagpur,103.0.59.44,Mobile App,Nurse,13.7,3,4,22310.11,Current,18,2025-02-26 07:45:54
T00009152,2025-02-27 18:34:30,14772.999999999998,C0004388,M00799,electronics,1.89,37,2,0,ACC42483531,CR,Srinagar,103.4.167.223,Branch,Banker,11.8,1,1,69412.98,Current,18,2025-02-26 07:31:50
T00002717,2025-02-27 18:35:29,13232.0,C0000894,M00602,electronics,7.22,32,4,0,ACC39958838,DR,Pune,45.112.108.123,Phone Banking,Sales Professional,26.9,1,1,48976.64,Recurring Deposit,18,2025-02-27 17:24:21
T00004299,2025-02-27 18:35:52,2472.0,C0000792,M00097,electronics,40.76,22,4,0,ACC54398056,DR,Kolkata,103.3.101.149,ATM,Architect,21.4,1,1,38605.57,Savings,18,2025-02-26 19:15:25
T00005860,2025-02-27 18:36:49,18931.0,C0000180,M00618,electronics,4.62,6,2,0,ACC60557040,DR,Delhi,45.112.80.26,ATM,Consultant,28.8,1,1,6934.66,Savings,18,2025-02-27 01:27:21
T00004315,2025-02-27 18:37:47,14930.000000000002,C0003912,M00189,utilities,14.12,40,1,0,ACC98753260,CR,Ghaziabad,103.5.60.92,ATM,Doctor,19.6,1,1,35925.33,Salary,18,2025-02-26 16:44:33
T00007483,2025-02-27 18:46:47,3996.0,C0004131,M00876,utilities,2.47,37,2,0,ACC16172803,CR,Patna,103.5.50.95,Mobile App,Engineer,36.6,1,1,115834.64,Current,18,2025-02-27 10:05:12
